date,close,volume,open,high,low,symbol
2024-06-07,232.67,2212477,232.41,234.1205,231.71,AXP
2024-06-06,233.35,2709843,234.79,236.4,232.7,AXP
2024-06-05,234.69,2925098,236.25,237.7,233.7,AXP
2024-06-04,237.25,2512117,236.39,240.0,235.73,AXP
2024-06-03,236.88,2677196,240.18,241.36,233.5309,AXP
2024-05-31,240.0,5102491,238.0,240.19,235.91,AXP
2024-05-30,237.22,2386412,236.37,237.32,234.975,AXP
2024-05-29,235.94,2711330,235.45,237.66,234.665,AXP
2024-05-28,237.25,2315401,237.75,238.47,235.88,AXP
2024-05-24,238.18,1624528,236.86,240.07,236.69,AXP
2024-05-23,235.46,3272593,240.83,240.83,235.12,AXP
2024-05-22,240.09,2292745,242.91,243.465,239.525,AXP
2024-05-21,243.08,1825937,242.34,243.575,241.34,AXP
2024-05-20,242.3,1983370,243.11,244.4138,242.1,AXP
2024-05-17,242.82,1848915,242.8,243.19,241.9,AXP
2024-05-16,241.32,2606056,241.72,243.348,240.85,AXP
2024-05-15,241.7,2013389,241.63,242.87,240.25,AXP
2024-05-14,241.53,2387310,238.15,242.09,238.1,AXP
2024-05-13,238.65,2768890,242.95,243.54,238.1,AXP
2024-05-10,242.3,2590895,240.5,243.54,240.31,AXP
2024-05-09,239.14,3166350,235.96,239.38,235.56,AXP
2024-05-08,236.24,2501911,234.4,236.85,233.52,AXP
2024-05-07,234.66,2084529,235.5,236.0,233.41,AXP
2024-05-06,234.33,2259573,232.3,234.57,231.32,AXP
2024-05-03,230.77,3203304,233.26,233.35,229.13,AXP
2024-05-02,232.5,2734874,233.58,233.95,230.911,AXP
2024-05-01,231.46,4176158,233.22,235.14,231.23,AXP
2024-04-30,234.03,3564276,237.88,239.61,233.77,AXP
2024-04-29,238.92,3696787,236.59,239.12,235.64,AXP
2024-04-26,235.64,2993335,236.0,236.92,234.4248,AXP
2024-04-25,237.1,3328959,238.13,238.45,235.405,AXP
2024-04-24,239.12,4429243,238.27,240.55,237.97,AXP
2024-04-23,238.96,4684450,234.77,239.42,233.67,AXP
2024-04-22,233.0,5151299,232.03,235.3699,227.69,AXP
2024-04-19,231.04,7573684,218.84,231.6,218.84,AXP
2024-04-18,217.5,3901454,218.26,221.445,217.175,AXP
2024-04-17,217.67,2256782,219.56,220.28,216.52,AXP
